City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Lang Son,VN,75.15,overcast clouds,21.8333,106.7333,Khai Nga Hotel
4,Hilo,US,77.61,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
9,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
11,Isabela,PH,77.05,overcast clouds,6.7085,121.9711,Isawad Resort
17,Kamariotissa,GR,86.02,clear sky,40.4833,25.4667,Niki Beach
19,Castrillon,ES,79.21,clear sky,43.3979,-6.7922,HR PALACIO DE PRELO 4 estrellas
25,Gimli,CA,82.42,few clouds,50.6336,-96.9907,Lakeview Gimli Resort
28,Kaitong,CN,75.87,clear sky,44.8135,123.15,Jinhe Fashion Hotel
30,Iralaya,HN,78.89,broken clouds,15.0,-83.2333,Iglesia morava renovada
31,Nichinan,JP,76.21,overcast clouds,31.6,131.3667,Guest House Aki
39,Faanui,PF,77.22,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
44,Kapaa,US,81.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
45,Kloulklubed,PW,79.07,very heavy rain,7.0419,134.2556,Storyboard Beach Resort
48,Poplar Bluff,US,77.74,overcast clouds,36.757,-90.3929,Holiday Inn Poplar Bluff
50,Torbay,CA,80.89,few clouds,47.6666,-52.7314,Gallows Cove
51,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
54,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
55,Nemencine,LT,77.52,overcast clouds,54.85,25.4833,"DREAM, cafe-motel, UAB Nedmara"
56,Georgetown,MY,81.95,few clouds,5.4112,100.3354,Cititel Penang
58,Callaguip,PH,77.02,moderate rain,18.0714,120.4867,Pangil Beach Resort
59,Bansdih,IN,81.45,overcast clouds,25.8833,84.2167,Shivam Fast Food Bansdih Badi Bazzar
69,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
76,Sur,OM,87.76,few clouds,22.5667,59.5289,Sur Plaza Hotel
84,Bud,US,83.43,clear sky,39.447,-86.1758,Ted McQuinn Trust
85,San Cristobal,VE,86.18,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
86,Lourdes,FR,76.48,clear sky,43.1,-0.05,"Hôtel Saint Etienne, Lourdes"
93,Bengkulu,ID,75.6,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
96,Tocache,PE,83.52,scattered clouds,-8.1842,-76.5125,Hotel Ortiz
100,Lebanon,US,85.84,broken clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
103,Aiken,US,88.34,light rain,33.5835,-81.5998,Aiken Cottages
107,Muisne,EC,84.31,broken clouds,0.6,-80.0333,Quinta Samay
109,Bodden Town,KY,89.01,scattered clouds,19.2833,-81.25,Will T Place
111,Moncton,CA,79.29,light rain,46.1159,-64.8019,"Crowne Plaza Moncton Downtown, an IHG Hotel"
113,Victoria,HK,82.36,moderate rain,22.2855,114.1577,Mini Hotel Central
117,Buala,SB,79.0,light rain,-8.145,159.5921,Maringe Lagoon Lodge
122,Kettering,US,82.6,clear sky,39.6895,-84.1688,Kettering Estates
125,Traverse City,US,83.14,clear sky,44.7631,-85.6206,Bayshore Resort
127,Karaton,ID,81.95,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
128,Portland,US,80.46,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
133,Ponta Do Sol,PT,78.71,clear sky,32.6667,-17.1,Hotel do Campo
136,Vegachi,CO,85.08,scattered clouds,6.7614,-74.7947,Hotel Real Vegachi
