City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severo-Kurilsk,RU,50.6789,156.125,51.15,96,81,11.97,broken clouds
1,Lang Son,VN,21.8333,106.7333,75.15,94,100,1.48,overcast clouds
2,Port Alfred,ZA,-33.5906,26.891,61.21,65,0,12.91,clear sky
3,Saint George,US,37.1041,-113.5841,92.62,36,99,8.52,overcast clouds
4,Hilo,US,19.7297,-155.09,77.61,85,82,1.01,light rain
5,Busselton,AU,-33.65,115.3333,48.09,78,83,7.99,broken clouds
6,Upernavik,GL,72.7868,-56.1549,39.43,82,74,15.82,broken clouds
7,Hobart,AU,-42.8794,147.3294,49.86,81,100,5.01,overcast clouds
8,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.44,50,0,0.0,clear sky
9,Monrovia,LR,6.3005,-10.7969,76.77,86,100,11.23,light rain
10,Chokurdakh,RU,70.6333,147.9167,42.33,71,13,8.79,few clouds
11,Isabela,PH,6.7085,121.9711,77.05,85,100,3.4,overcast clouds
12,Hermanus,ZA,-34.4187,19.2345,58.87,66,13,2.35,few clouds
13,Sitka,US,57.0531,-135.33,58.06,92,100,3.31,light rain
14,Nanortalik,GL,60.1432,-45.2371,46.94,97,100,7.43,overcast clouds
15,Punta Arenas,CL,-53.15,-70.9167,42.91,81,0,9.22,clear sky
16,Saint-Augustin,CA,51.226,-58.6502,80.8,29,0,11.41,clear sky
17,Kamariotissa,GR,40.4833,25.4667,86.02,76,0,1.92,clear sky
18,Antofagasta,CL,-23.65,-70.4,66.22,56,23,3.58,few clouds
19,Castrillon,ES,43.3979,-6.7922,79.21,76,0,3.83,clear sky
20,Hofn,IS,64.2539,-15.2082,53.8,83,34,13.44,scattered clouds
21,Marovoay,MG,-16.1,46.6333,75.34,56,51,0.29,broken clouds
22,Rio Grande,BR,-32.035,-52.0986,48.31,70,100,34.07,moderate rain
23,Cape Town,ZA,-33.9258,18.4232,61.21,66,0,8.05,clear sky
24,Ushuaia,AR,-54.8,-68.3,38.86,87,90,9.22,light intensity drizzle
25,Gimli,CA,50.6336,-96.9907,82.42,51,13,12.66,few clouds
26,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,83,13.58,light rain
27,Ribeira Grande,PT,38.5167,-28.7,72.0,68,40,13.8,scattered clouds
28,Kaitong,CN,44.8135,123.15,75.87,79,6,13.13,clear sky
29,Beringovskiy,RU,63.05,179.3167,48.16,95,100,10.98,overcast clouds
30,Iralaya,HN,15.0,-83.2333,78.89,77,51,12.03,broken clouds
31,Nichinan,JP,31.6,131.3667,76.21,92,100,7.52,overcast clouds
32,Inhambane,MZ,-23.865,35.3833,62.58,100,75,11.5,drizzle
33,Longyearbyen,SJ,78.2186,15.6401,40.84,93,90,6.91,light rain
34,Thompson,CA,55.7435,-97.8558,50.16,100,90,9.22,overcast clouds
35,Vaini,TO,-21.2,-175.2,73.56,94,20,5.75,few clouds
36,Zhigansk,RU,66.7697,123.3711,54.18,56,100,8.97,overcast clouds
37,Villa Carlos Paz,AR,-31.4241,-64.4978,59.05,25,100,4.0,overcast clouds
38,Saskylakh,RU,71.9167,114.0833,55.2,85,100,1.21,light rain
39,Faanui,PF,-16.4833,-151.75,77.22,77,100,21.27,light rain
40,Mahebourg,MU,-20.4081,57.7,71.26,73,40,11.5,scattered clouds
41,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,83,75,10.36,broken clouds
42,Yellowknife,CA,62.456,-114.3525,65.28,55,20,3.0,few clouds
43,Kwinana,AU,-32.25,115.7667,53.82,69,74,7.81,broken clouds
44,Kapaa,US,22.0752,-159.319,81.12,80,41,5.01,light rain
45,Kloulklubed,PW,7.0419,134.2556,79.07,84,100,10.2,very heavy rain
46,Port Moresby,PG,-9.4431,147.1797,74.62,94,40,3.44,scattered clouds
47,Kompaniyivka,UA,48.2511,32.208,76.41,59,0,6.53,clear sky
48,Poplar Bluff,US,36.757,-90.3929,77.74,78,88,1.01,overcast clouds
49,Lander,US,42.833,-108.7307,94.1,28,39,5.48,scattered clouds
50,Torbay,CA,47.6666,-52.7314,80.89,57,20,20.71,few clouds
51,Avarua,CK,-21.2078,-159.775,77.05,78,75,6.91,broken clouds
52,Flinders,AU,-34.5833,150.8552,49.05,80,100,1.99,overcast clouds
53,Petropavlovskoye,RU,52.0712,84.107,58.24,81,36,5.59,scattered clouds
54,Iquitos,PE,-3.7481,-73.2472,86.04,70,75,4.61,broken clouds
55,Nemencine,LT,54.85,25.4833,77.52,89,98,7.49,overcast clouds
56,Georgetown,MY,5.4112,100.3354,81.95,90,20,2.3,few clouds
57,Isangel,VU,-19.55,169.2667,74.41,86,7,4.43,clear sky
58,Callaguip,PH,18.0714,120.4867,77.02,100,90,3.44,moderate rain
59,Bansdih,IN,25.8833,84.2167,81.45,82,100,1.9,overcast clouds
60,Tasiilaq,GL,65.6145,-37.6368,41.52,81,77,0.83,broken clouds
61,Abu Kamal,SY,34.4506,40.9171,100.98,14,0,7.09,clear sky
62,Geraldton,AU,-28.7667,114.6,55.81,94,100,9.22,overcast clouds
63,Bakchar,RU,57.0186,82.0711,51.51,96,7,3.09,clear sky
64,High Level,CA,58.5169,-117.136,57.31,72,75,10.36,broken clouds
65,Dikson,RU,73.5069,80.5464,35.56,89,30,6.6,scattered clouds
66,Talnakh,RU,69.4865,88.3972,49.59,77,100,5.41,overcast clouds
67,Albany,US,42.6001,-73.9662,75.45,91,100,6.53,overcast clouds
68,Mataura,NZ,-46.1927,168.8643,43.03,97,100,1.72,overcast clouds
69,Puerto Ayora,EC,-0.7393,-90.3518,82.36,86,86,10.0,overcast clouds
70,Rikitea,PF,-23.1203,-134.9692,71.78,61,100,26.08,overcast clouds
71,Bredasdorp,ZA,-34.5322,20.0403,52.92,76,1,2.3,clear sky
72,Turka,UA,49.1541,23.0297,66.25,96,30,2.71,scattered clouds
73,Melita,CA,49.2681,-100.9967,93.18,32,0,11.18,clear sky
74,Okhotsk,RU,59.3833,143.3,59.13,85,4,4.56,clear sky
75,Sukhobezvodnoye,RU,57.0491,44.8891,67.68,69,5,5.23,clear sky
76,Sur,OM,22.5667,59.5289,87.76,63,13,15.17,few clouds
77,Castro,BR,-24.7911,-50.0119,51.58,48,0,10.96,clear sky
78,Poum,NC,-20.2333,164.0167,72.48,81,18,18.79,few clouds
79,Aklavik,CA,68.2191,-135.0107,59.83,88,90,4.61,light intensity shower rain
80,Dubai,AE,25.2582,55.3047,93.49,59,0,6.91,clear sky
81,Aswan,EG,24.0934,32.907,101.5,18,0,2.3,clear sky
82,Alice Springs,AU,-23.7,133.8833,40.55,75,4,4.61,clear sky
83,Alofi,NU,-19.0595,-169.9187,73.29,94,11,6.91,few clouds
84,Bud,US,39.447,-86.1758,83.43,63,1,10.78,clear sky
85,San Cristobal,VE,7.7669,-72.225,86.18,56,36,8.3,scattered clouds
86,Lourdes,FR,43.1,-0.05,76.48,65,0,3.44,clear sky
87,Taltal,CL,-25.4,-70.4833,62.82,64,88,4.85,overcast clouds
88,Husavik,IS,66.0449,-17.3389,64.31,74,59,5.32,broken clouds
89,Krasnoselkup,RU,65.7,82.4667,45.95,71,1,6.76,clear sky
90,Nizhniy Odes,RU,63.6445,54.856,61.63,54,80,3.91,broken clouds
91,Ustye,RU,59.6304,39.736,65.39,54,8,5.08,clear sky
92,Merauke,ID,-8.4667,140.3333,76.6,90,99,12.68,overcast clouds
93,Bengkulu,ID,-3.8004,102.2655,75.6,91,28,4.07,scattered clouds
94,Farafangana,MG,-22.8167,47.8333,69.22,85,100,7.76,light rain
95,Esperance,AU,-33.8667,121.9,51.64,84,5,14.23,clear sky
96,Tocache,PE,-8.1842,-76.5125,83.52,62,29,1.32,scattered clouds
